WGATAR_position,WGATAR_chr,WGATAR_id,WGATAR_start,WGATAR_end,WGATAR_to_GATA1_peak_summit,Number_editable_bases,background_genes_counts_on_TAD,WGATAG_to_nearest_gene_distance,dis_motif2motif,RAD21,GATA1,TAL1,LDB1,CTCF,MED1,ATAC,BRD4,NIPBL,GATA2,effect_value,PHRED,phylop,chromatin_state,delta_occupancy,delta_atac,scores_evo2,GC_content
chr1:171457481-171457487,chr1,WGATAR_187,171457481,171457487,410,4,5,-4064,316,5.0,17.5,7.5,1.0,1.5,4.0,1.04,2.0,2.75,2.5,0.347574536,9.844642857142858,0.0,4,0.62344325,0.08312321,0.93780517578125,0.35
chr1:171457803-171457809,chr1,WGATAR_189,171457803,171457809,88,3,5,-3742,88,3.75,57.5,8.0,1.25,2.25,5.0,3.12,2.75,6.25,4.5,0.422148764,6.256260869565219,0.0,16,0.25872183,0.067846775,-1.2346649169921875,0.35
chr1:171457897-171457903,chr1,WGATAR_188,171457897,171457903,6,1,5,-3648,88,3.5,95.5,10.0,1.0,2.0,3.5,2.08,3.0,7.75,7.0,0.278624854,12.712380952380954,0.0,16,0.673229,0.13071442,-2.02099609375,0.35
chr1:171458138-171458144,chr1,WGATAR_186,171458138,171458144,247,2,5,-3407,164,2.5,45.75,4.25,1.0,4.25,2.75,0.52,4.25,4.0,6.0,0.179480195,3.087857142857143,0.0,10,0.02685064,0.017114162,-2.498016357421875,0.3
chr1:171458308-171458314,chr1,WGATAR_185,171458308,171458314,417,2,5,-3237,164,2.5,19.0,4.25,3.0,5.5,4.25,1.04,2.75,2.5,4.25,0.261341347,3.7923750000000003,0.0,10,0.74683964,-0.0036942959,-0.5465240478515625,0.25
chr1:230952441-230952447,chr1,WGATAR_238,230952441,230952447,311,1,21,-3550,114,4.0,10.0,6.75,1.75,2.25,2.25,0.52,1.75,2.0,1.5,0.135723279,1.9080000000000001,0.0,3,0.15860784,0.00027227402,-5.3071441650390625,0.3
chr1:230952561-230952567,chr1,WGATAR_241,230952561,230952567,191,2,21,-3430,114,3.75,11.5,4.25,3.0,4.0,2.5,1.04,0.75,1.5,0.5,0.449939985,4.256428571428573,0.0,13,1.0761265,0.3053341,-12.49017333984375,0.45
chr1:230952705-230952711,chr1,WGATAR_240,230952705,230952711,47,3,21,-3286,24,3.0,32.75,3.5,5.25,1.5,3.5,2.08,0.75,2.25,1.5,0.247596266,2.8776000000000006,0.0,13,0.16279447,0.048446655,2.1070098876953125,0.4
chr1:230952735-230952741,chr1,WGATAR_239,230952735,230952741,17,2,21,-3256,24,3.25,41.5,3.5,4.5,1.5,4.75,1.56,1.25,2.75,1.5,1.48901512,2.370904761904762,0.0,13,1.2874079,0.27361703,3.4976806640625,0.55
chr1:230975744-230975750,chr1,WGATAR_243,230975744,230975750,77,4,21,-15292,39,4.25,25.5,4.75,6.75,1.75,9.5,0.0,4.0,6.25,1.75,0.340303771,12.46142857142857,0.0,7,0.5674429,0.37243438,-0.96875,0.35
chr1:230975789-230975795,chr1,WGATAR_242,230975789,230975795,32,1,21,-15337,39,3.25,28.75,4.25,8.25,1.75,10.0,0.0,4.75,5.25,1.75,0.362129792,6.324689655172413,0.850167,7,0.32494724,0.03714776,0.398773193359375,0.4
chr1:231005882-231005888,chr1,WGATAR_247,231005882,231005888,3,3,21,-548,10,5.5,88.0,15.0,22.75,4.75,11.5,1.04,19.25,20.5,8.25,0.431730999,7.629111111111111,0.0,10,-0.19349885,-0.30619907,1.7072296142578125,0.3
chr1:231005898-231005904,chr1,WGATAR_246,231005898,231005904,13,2,21,-564,10,5.5,88.0,15.0,22.75,4.75,11.5,1.04,19.25,20.5,8.25,0.243246125,5.183739130434783,0.0,10,0.08617973,-0.0040500164,-2.773712158203125,0.35
chr1:231005946-231005952,chr1,WGATAR_245,231005946,231005952,61,2,21,-612,42,5.0,92.5,14.75,21.75,5.75,11.25,1.04,16.75,15.75,10.5,0.640304405,4.004071428571429,0.0,10,0.55866885,0.27006912,2.7315750122070312,0.35
chr1:231006068-231006074,chr1,WGATAR_244,231006068,231006074,183,1,21,-734,116,3.75,57.5,11.75,10.75,4.0,8.75,0.52,11.0,8.25,10.0,0.864233027,2.42875,0.0,10,0.7731878,0.061045885,-1.69354248046875,0.4
chr1:231052556-231052562,chr1,WGATAR_249,231052556,231052562,4,1,21,-21307,48,6.25,27.25,10.5,13.75,14.5,3.0,8.32,4.25,6.75,2.25,1.236422337,3.635294117647059,0.573667,16,1.9493141,1.4139609,-1.0604248046875,0.5
chr1:231052610-231052616,chr1,WGATAR_248,231052610,231052616,50,4,21,-21361,48,6.25,24.0,11.75,11.5,16.5,2.75,7.8,5.75,6.75,2.25,0.757984846,2.6395,0.0,16,0.22926474,0.04771042,-1.8458709716796875,0.45
chr1:231058897-231058903,chr1,WGATAR_250,231058897,231058903,214,2,21,-27648,26,8.0,16.25,9.0,8.0,9.25,4.0,1.04,3.0,2.5,5.0,0.415066291,10.578666666666665,0.0,10,0.37414348,-0.041846514,0.398223876953125,0.25
chr1:231058929-231058935,chr1,WGATAR_254,231058929,231058935,182,3,21,-27680,26,8.5,22.75,11.5,8.5,7.75,4.0,2.6,3.25,3.25,4.75,0.09637823,7.507333333333334,0.0,10,0.051223516,0.020437002,-1.9759521484375,0.45
chr1:231059123-231059129,chr1,WGATAR_253,231059123,231059129,12,4,21,-27874,6,8.0,61.75,20.0,38.25,5.75,7.0,14.56,10.5,6.5,6.75,0.988259812,1.8156000000000003,-0.399,16,0.6725807,0.28589463,0.84381103515625,0.5
chr1:231059135-231059141,chr1,WGATAR_252,231059135,231059141,24,1,21,-27886,6,8.0,61.75,20.0,38.25,5.75,7.0,14.56,10.5,6.5,6.75,0.467872439,4.162764705882354,0.0,16,1.1148659,0.29424214,-1.2548828125,0.5
chr1:231059234-231059240,chr1,WGATAR_251,231059234,231059240,123,2,21,-27985,93,5.25,44.75,17.0,26.25,3.25,4.5,6.76,9.75,6.75,5.75,0.596016642,4.508090909090909,0.0,16,-0.0040273666,0.0023612976,-2.388824462890625,0.35
chr1:231072883-231072889,chr1,WGATAR_255,231072883,231072889,10,1,21,-41634,13643,3.0,14.5,5.5,1.5,4.0,4.0,0.0,4.0,2.5,1.75,0.304319286,2.881583333333333,-0.220167,1,0.9150274,0.0012807846,-0.39501953125,0.3
