WGATAR_id,EFO:0002067 ATAC-seq,EFO:0002067 TF ChIP-seq GATA1,EFO:0002067 Histone ChIP-seq H3K27ac,EFO:0002067 TF ChIP-seq CTCF,EFO:0002067 Histone ChIP-seq H3K27me3,EFO:0002067 Histone ChIP-seq H3K36me3,EFO:0002067 Histone ChIP-seq H3K4me1,EFO:0002067 Histone ChIP-seq H3K4me2,EFO:0002067 Histone ChIP-seq H3K4me3,EFO:0002067 Histone ChIP-seq H3K79me2,EFO:0002067 Histone ChIP-seq H3K9ac,EFO:0002067 Histone ChIP-seq H4K20me1,EFO:0002067 total RNA-seq
WGATAR_1,-0.19264847,-0.08870801,-0.20884004,-0.15118092,0.69509274,-0.378331,-0.21728742,-0.1944665,-0.38849974,-0.23467651,-0.34223843,-0.37754148,
WGATAR_2,-0.071706,-0.0049959123,-0.012109786,0.0013262331,0.122829944,0.48394704,-0.09372431,-0.06808901,-0.29822806,0.014841855,0.31297654,-0.22969092,0.18957695
WGATAR_3,0.04981634,0.01158455,0.0822579,0.09567493,0.16168764,0.7531589,0.048927784,0.5343996,0.013968989,0.8911487,0.5708658,-0.07557915,-0.030612826
WGATAR_4,0.95924807,0.9532571,0.9788935,0.9303446,-0.32892686,-0.14070857,0.9279951,0.9456508,0.78436553,0.88283813,0.7666557,0.68693316,-0.36562908
WGATAR_5,0.8377222,0.40167606,0.9574744,0.50388825,0.39051098,0.24897243,0.58893347,0.92110217,0.74496245,0.88380253,0.7555001,-0.103377864,-0.21945195
WGATAR_6,-0.016741753,0.97593594,-0.010864615,-0.021707267,0.6386085,-0.177787,-0.0050491095,-0.03212571,-0.1458365,-0.06697348,-0.21736547,0.6866732,-0.39149818
WGATAR_7,0.96876955,0.99844664,0.97912693,0.90203667,-0.30368224,0.8091811,0.92452633,0.9417897,0.68738675,0.90696025,0.72679263,0.68464094,0.5909781
WGATAR_8,0.48144963,0.6781651,0.7021021,0.19989817,0.4430352,0.29924795,0.53684306,0.6637097,0.3882845,0.8163271,0.21255872,0.5239617,-0.102239974
WGATAR_9,0.33979538,-0.020094365,0.022119135,0.20258728,0.363083,0.56460583,-0.098701596,-0.11160642,-0.16948716,0.07349554,-0.3225062,-0.018834949,-0.33355594
WGATAR_10,-0.05595833,-0.059277028,-0.056859165,-0.04866016,0.6641387,0.78900844,-0.17440888,-0.14944944,-0.22637254,-0.048172474,-0.2935864,0.22778615,-0.07061091
WGATAR_11,0.069740176,0.97824687,-0.009924859,0.68751276,0.6034086,-0.11436778,0.84197545,0.069577605,-0.035555184,-0.030856669,-0.17701346,0.62629545,-0.09792209
WGATAR_12,0.48355654,0.9112936,0.037323773,0.17196456,0.54700905,0.17911147,0.605987,0.8181273,0.26800752,0.1913279,-0.090583146,0.56206423,-0.095956475
WGATAR_13,0.13750327,0.14452437,0.020021766,0.13893864,0.3307138,0.7727487,0.060352594,0.047893196,0.007925659,0.109398365,-0.026054502,0.14456853,0.8242458
